Protein Accession,Gene name,DEPs in Early B/B stages,t.test p-value in Early B/B stages,log2 FoldChange in Early B/B stages,DEPs in Late B/B stages,t.test p-value in Late B/B stages,log2 FoldChange in Late B/B stages
Q9UPT5,EXOC7,*,0.0298,-1.9053,,0.2113,-1.3951
Q86WA6,BPHL,*,0.0382,-1.3930,,0.3859,-0.5683
P15882,CHN1,*,0.0320,-1.3010,,0.1172,-1.1651
O95831,AIFM1,*,0.0261,-1.2619,,0.2947,-1.0158
Q9H845,ACAD9,*,0.0405,-1.1995,,0.0644,-1.3576
Q5TC12,ATPAF1,*,0.0372,-1.1885,*,0.0438,-1.2813
Q13085,ACACA,*,0.0054,-1.1546,,0.1608,-0.6422
O75382,TRIM3,*,0.0476,-1.0601,,0.1254,-0.6733
Q9UMX5,NENF,*,0.0118,-0.9763,,0.4323,-0.3374
Q8N766,EMC1,*,0.0333,-0.8791,*,0.0243,-1.2378
P56192,MARS,*,0.0222,-0.8097,*,0.0262,-0.7018
Q9BR01,SULT4A1,*,0.0144,-0.7162,,0.0272,-0.7539
P60763,RAC3,,0.0584,-1.5543,*,0.0168,-1.5578
P78356,PIP4K2B,,0.1199,-0.3094,*,0.0004,-0.7159
Q13885,TUBB2A,,0.1487,-0.3209,*,0.0086,-0.8830
Q8WZA9,IRGQ,,0.1849,-0.4230,*,0.0089,-1.2015
P48147,PREP,,0.1744,-0.2554,*,0.0183,-0.7324
Q99250,SCN2A,,0.0971,-0.4342,*,0.0228,-1.2099
P05166,PCCB,,0.0340,-0.2675,*,0.0307,-0.8045
P58549,FXYD7,,0.1552,-0.2614,*,0.0144,-0.7721
Q14204,DYNC1H1,,0.1817,-0.2794,*,0.0263,-0.6268
O94985,CLSTN1,,0.1203,-0.7560,*,0.0090,-1.8973
Q9Y285,FARSA,,0.1226,-0.3493,*,0.0092,-0.8601
O75663,TIPRL,,0.0743,-0.3518,*,0.0094,-0.8117
Q9BXK5,BCL2L13,,0.0783,-1.1824,*,0.0054,-2.6748
O95140,MFN2,,0.1653,-0.4880,*,0.0489,-0.7997
Q9Y4E6,WDR7,,0.3464,-0.3350,*,0.0367,-0.7043
Q8WW22,DNAJA4,,0.2171,-0.5398,*,0.0142,-0.7404
Q9HA65,TBC1D17,,0.1615,-0.8351,*,0.0183,-0.9729
Q15814,TBCC,,0.1032,-1.0286,*,0.0302,-1.3574
Q96GK7,FAHD2A,,0.0701,-0.9191,*,0.0414,-1.3686
Q9H1P3,OSBPL2,,0.1457,-0.6815,*,0.0416,-1.0482
Q9NVE7,PANK4,,0.0544,-0.4319,*,0.0137,-0.6790
P57721,PCBP3,,0.1323,-1.1456,*,0.0333,-2.2004
P78357,CNTNAP1,,0.1756,-0.3248,*,0.0256,-0.6400
Q9ULU8,CADPS,,0.1095,-0.3203,*,0.0449,-0.6124
Q9BSJ8,ESYT1,,0.1548,-0.5695,*,0.0164,-0.9716
Q9UDW1,UQCR10,,0.0964,-0.8256,*,0.0156,-1.3260
P12931,SRC,,0.1111,-0.7723,*,0.0005,-1.1923
P03905,MT-ND4,,0.1000,-0.3560,*,0.0246,-0.6323
O60610,DIAPH1,,0.0980,-1.3360,*,0.0210,-2.4715
P11233,RALA,,0.1321,-0.3822,*,0.0124,-0.7323
P53677,AP3M2,,0.0908,-0.8434,*,0.0040,-1.5899
P62701,RPS4X,,0.0859,-0.4674,*,0.0162,-0.8387
Q8N608,DPP10,,0.0439,-0.4847,*,0.0483,-0.9285
P20962,PTMS,,0.1128,-1.4119,*,0.0216,-2.5432
Q96DA2,RAB39B,,0.1582,-0.7906,*,0.0108,-1.4411
O14548,COX7A2L,,0.1073,-0.3206,*,0.0297,-0.5969
O60939,SCN2B,,0.1239,-0.4228,*,0.0357,-0.8540
Q9UIW2,PLXNA1,,0.1037,-0.4391,*,0.0205,-0.9078
Q68DU8,KCTD16,,0.1330,-0.8573,*,0.0184,-1.8191
O15530,PDPK1,,0.5842,0.1548,*,0.0088,-1.6811
Q96AG4,LRRC59,,0.7506,0.0529,*,0.0190,-0.7463
O95674,CDS2,,0.9202,0.0156,*,0.0284,-1.0244
Q12959,DLG1,,0.9568,0.0056,*,0.0225,-0.6756
Q4KMP7,TBC1D10B,,0.9229,-0.0202,*,0.0062,-1.3469
Q14738,PPP2R5D,,0.8906,0.0174,*,0.0067,-0.6973
Q9NR31,SAR1A,,0.7996,-0.0922,*,0.0014,-2.6309
Q96CW1,AP2M1,,0.8885,-0.0160,*,0.0023,-0.6833
Q9Y5K8,ATP6V1D,,0.8553,-0.0236,*,0.0003,-0.6813
Q969P0,IGSF8,,0.7405,0.0405,*,0.0009,-0.6198
Q9NZN3,EHD3,,0.9153,0.0155,*,0.0004,-0.7649
Q9HB71,CACYBP,,0.8026,-0.0328,*,0.0005,-0.5821
P56378,MP68,,0.3562,-0.1927,*,0.0056,-1.6518
Q16543,CDC37,,0.4447,-0.0546,*,0.0033,-0.5952
Q9Y2J2,EPB41L3,,0.6399,-0.0525,*,0.0141,-0.7026
P61764,STXBP1,,0.6609,-0.0613,*,0.0071,-0.7617
Q8N5M4,TTC9C,,0.6530,-0.1010,*,0.0170,-1.9614
Q00577,PURA,,0.3807,-0.1257,*,0.0072,-0.8004
P61026,RAB10,,0.4758,-0.2759,*,0.0015,-1.6836
Q12907,LMAN2,,0.5870,-0.1433,*,0.0096,-1.2637
O95057,DIRAS1,,0.4498,-0.1430,*,0.0136,-1.3721
Q02543,RPL18A,,0.3773,-0.1849,*,0.0133,-1.3849
Q9NZ52,GGA3,,0.5184,-0.1661,*,0.0080,-1.4121
Q99943,AGPAT1,,0.2937,-0.3301,*,0.0019,-1.9184
P19086,GNAZ,,0.1639,-0.1809,*,0.0002,-0.7164
Q8NFW8,CMAS,,0.1663,-0.2493,*,0.0003,-0.9672
Q9BPU6,DPYSL5,,0.3446,-0.1501,*,0.0000,-0.7249
P08574,CYC1,,0.2306,-0.1639,*,0.0024,-0.7377
P63215,GNG3,,0.2002,-0.2810,*,0.0012,-1.2009
P05388,RPLP0,,0.1499,-0.2290,*,0.0010,-0.7671
P41217,CD200,,0.0168,-0.3371,*,0.0055,-1.1403
Q7Z6L0,PRRT2,,0.1585,-0.2586,*,0.0016,-0.8452
Q16623,STX1A,,0.3643,-0.1713,*,0.0035,-0.8207
Q9GZY8,MFF,,0.3645,-0.3088,*,0.0018,-1.5343
P10114,RAP2A,,0.3263,-0.1600,*,0.0008,-0.6474
O43581,SYT7,,0.2152,-0.2254,*,0.0041,-0.8660
Q96MZ0,GDAP1L1,,0.1866,-0.2787,*,0.0089,-1.1107
Q8N335,GPD1L,,0.0524,-0.2154,*,0.0108,-0.8595
Q9UPR5,SLC8A2,,0.1667,-0.2691,*,0.0063,-1.0828
Q02952,AKAP12,,0.2626,-0.1985,*,0.0055,-0.8422
P04216,THY1,,0.3326,-0.1616,*,0.0021,-0.6813
P53680,AP2S1,,0.2911,-0.1398,*,0.0024,-0.6055
P05771,PRKCB,,0.2655,-0.3282,*,0.0206,-1.2774
Q5JSH3,WDR44,,0.2395,-0.1626,*,0.0277,-0.6049
Q96F85,CNRIP1,,0.2131,-0.1865,*,0.0137,-0.6490
P17677,GAP43,,0.1431,-0.1919,*,0.0183,-0.7509
Q15382,RHEB,,0.2649,-0.2111,*,0.0137,-0.8155
Q96EQ0,SGTB,,0.1642,-0.1615,*,0.0266,-0.9295
Q9BRX8,FAM213A,,0.3834,-0.2001,*,0.0157,-1.1293
Q96A26,FAM162A,,0.3262,-0.1248,*,0.0113,-0.6149
O14980,XPO1,,0.5188,-0.2551,*,0.0036,-1.3065
O95219,SNX4,,0.3670,-0.1435,*,0.0297,-0.7017
Q86YB7,ECHDC2,,0.2032,-0.2842,*,0.0279,-1.4695
Q16720,ATP2B3,,0.2840,-0.1839,*,0.0252,-0.9638
Q8IUE6,HIST2H2AB,,0.7272,-0.1147,*,0.0142,-1.3433
Q9H1E5,TMX4,,0.6046,-0.1729,*,0.0293,-1.6109
P46782,RPS5,,0.5412,-0.1996,*,0.0162,-1.4746
Q9NZ32,ACTR10,,0.3796,-0.2320,*,0.0224,-1.7689
Q86UN3,RTN4RL2,,0.6770,-0.1519,*,0.0048,-1.2631
Q9NVH1,DNAJC11,,0.3310,-0.1654,*,0.0181,-1.1577
Q9NUQ9,FAM49B,,0.5292,-0.1590,*,0.0053,-1.0361
Q6DN90,IQSEC1,,0.3836,-0.1469,*,0.0072,-0.8443
O14523,C2CD2L,,0.3220,-0.1880,*,0.0096,-1.0312
Q9H0Q3,FXYD6,,0.3159,-0.1216,*,0.0088,-0.6596
P51572,BCAP31,,0.4953,-0.1171,*,0.0016,-0.6753
P29144,TPP2,,0.2647,-0.3019,*,0.0182,-1.7153
Q8TF44,C2CD4C,,0.7286,-0.1685,*,0.0043,-1.4117
O60716,CTNND1,,0.5292,-0.2085,*,0.0347,-1.5680
Q8NFX7,STXBP6,,0.6650,-0.1447,*,0.0248,-1.3629
P67775,PPP2CA,,0.3853,-0.1075,*,0.0435,-0.8302
Q9UJS0,SLC25A13,,0.4233,-0.1647,*,0.0375,-1.1899
Q15042,RAB3GAP1,,0.7503,-0.0626,*,0.0401,-0.6834
