Protein Accession,Gene name,DEPs in Early B/B stages,t.test p-value in Early B/B stages,log2 FoldChange in Early B/B stages,DEPs in Late B/B stages,t.test p-value in Late B/B stages,log2 FoldChange in Late B/B stages
P35244,RPA3,*,0.0448,-0.8580,,0.4218,0.1455
O75821,EIF3G,*,0.0270,-1.2772,,0.8436,-0.1052
P53999,SUB1,*,0.0380,-1.5846,,0.8273,0.1510
O60506,SYNCRIP,*,0.0170,-0.7907,*,0.0426,-0.5929
O14994,SYN3,*,0.0026,-0.8463,,0.0928,-0.5460
Q6P1M0,SLC27A4,*,0.0319,-0.7606,,0.0443,-0.4351
P33121,ACSL1,*,0.0257,-3.0297,,0.2108,-1.6889
Q66LE6,PPP2R2D,*,0.0156,-1.1414,,0.1079,-0.5750
Q96Q05,TRAPPC9,*,0.0044,-1.3439,,0.0620,-0.6874
P50453,SERPINB9,*,0.0138,-2.4761,,0.3123,-0.9389
Q01581,HMGCS1,*,0.0259,-1.0974,,0.2300,-0.3869
P46060,RANGAP1,*,0.0437,-1.3114,,0.1099,-0.3959
Q99259,GAD1,*,0.0374,-1.5543,,0.2762,-0.6386
P61026,RAB10,*,0.0094,-1.1409,,0.0790,-0.3444
Q13033,STRN3,*,0.0416,-0.7906,,0.4864,-0.3329
O60645,EXOC3,*,0.0432,-0.7781,,0.3504,-0.4325
P36957,DLST,*,0.0471,-0.5820,,0.5504,-0.3334
Q5VZK9,LRRC16A,*,0.0318,-1.0716,,0.2969,-0.6778
O95847,SLC25A27,*,0.0492,-1.3998,,0.2837,-0.7635
O15212,PFDN6,*,0.0405,-1.4837,,0.1686,-0.7308
Q8TC26,TMEM163,*,0.0177,-1.4866,*,0.0479,-1.0948
O60716,CTNND1,*,0.0075,-0.8583,,0.0567,-0.7085
P18621,RPL17,*,0.0409,-1.0587,*,0.0416,-0.7337
Q8N122,RPTOR,*,0.0477,-1.8639,,0.1612,-1.2814
O15230,LAMA5,*,0.0464,-2.5947,,0.1154,-1.9293
Q86UW7,CADPS2,*,0.0032,-0.6067,,0.1492,-0.4664
Q8WW59,SPRYD4,,0.0956,-1.1798,*,0.0152,-1.1271
P19784,CSNK2A2,,0.0657,-0.7239,*,0.0278,-0.6725
Q14832,GRM3,*,0.0065,-0.8390,,0.0635,-0.8121
Q14157,UBAP2L,*,0.0082,-0.9118,*,0.0311,-0.8216
Q9P2J5,LARS,*,0.0022,-0.7236,,0.2046,-0.5384
Q9UHX1,PUF60,*,0.0412,-0.7097,,0.0705,-0.5749
O75787,ATP6AP2,*,0.0454,-0.6564,,0.0985,-0.5426
Q9HCD6,TANC2,*,0.0181,-0.6259,,0.1623,-0.5139
Q92882,OSTF1,*,0.0401,-0.7378,,0.1690,-0.6484
Q13825,AUH,*,0.0240,-0.8338,,0.1449,-0.7367
P49758,RGS6,,0.1237,-0.8092,*,0.0398,-0.7134
Q8NBF6,AVL9,,0.2278,-0.6062,*,0.0384,-0.7667
O95886,DLGAP3,,0.1656,-0.7536,*,0.0193,-0.8859
Q6U841,SLC4A10,*,0.0438,-0.7810,,0.0702,-0.8347
P08962,CD63,,0.2937,-0.6722,*,0.0226,-0.6075
P54284,CACNB3,*,0.0331,-0.7849,*,0.0448,-1.0476
P42261,GRIA1,,0.1650,-2.2005,*,0.0297,-2.8724
Q9UPW8,UNC13A,,0.1615,-0.6874,*,0.0320,-0.9014
Q86UR5,RIMS1,*,0.0372,-0.7379,*,0.0200,-0.8634
Q8N2F6,ARMC10,,0.0710,-1.2487,*,0.0228,-1.5016
Q14699,RFTN1,,0.0752,-0.7241,*,0.0410,-0.8420
Q8TF44,C2CD4C,,0.0905,-1.3740,*,0.0213,-1.5705
Q92932,PTPRN2,*,0.0382,-1.9939,*,0.0098,-2.1965
P49674,CSNK1E,*,0.0458,-0.6197,*,0.0071,-0.6696
Q9UIW2,PLXNA1,*,0.0092,-1.3011,*,0.0203,-1.3690
O76041,NEBL,,0.9358,0.0396,*,0.0246,-0.7606
