Protein Accession,Gene name,DEPs in Early B/B stages,t.test p-value in Early B/B stages,log2 FoldChange in Early B/B stages,DEPs in Late B/B stages,t.test p-value in Late B/B stages,log2 FoldChange in Late B/B stages
Q96DB5,RMDN1,*,0.0483,1.1826,,0.8851,-0.0562
P50552,VASP,*,0.0120,0.6846,,0.5495,0.2103
Q9ULH7,MKL2,*,0.0407,1.0537,,0.4611,0.4854
P42224,STAT1,*,0.0254,0.6895,,0.2543,0.2872
P55265,ADAR,*,0.0123,1.0752,,0.1760,0.6831
P49755,TMED10,*,0.0346,1.0326,,0.3346,0.5787
O14744,PRMT5,*,0.0203,1.4453,,0.1960,1.0908
O75688,PPM1B,*,0.0281,1.3218,,0.0900,1.1090
P22102,GART,,0.2008,0.2926,*,0.0000,1.0121
Q3LXA3,DAK,*,0.0069,0.7665,*,0.0006,1.3179
Q9H479,FN3K,,0.0556,0.4334,*,0.0106,0.8054
Q9Y490,TLN1,*,0.0447,0.6700,*,0.0043,1.3358
Q6PCB7,SLC27A1,,0.5328,0.2260,*,0.0479,0.6944
Q9GZV7,HAPLN2,,0.4508,0.3286,*,0.0244,0.7535
O00299,CLIC1,,0.0735,0.7503,*,0.0043,1.0834
Q14108,SCARB2,,0.0642,0.8269,*,0.0324,1.1275
Q969E4,TCEAL3,,0.0630,0.5546,*,0.0029,0.7353
Q8N9I0,SYT2,,0.0784,2.4882,*,0.0358,3.3210
Q7L523,RRAGA,,0.0972,0.9705,*,0.0111,1.5569
P20700,LMNB1,,0.1158,0.7556,*,0.0122,1.2726
P07910,HNRNPC,,0.0774,0.5287,*,0.0316,0.8012
P04271,S100B,,0.2546,0.3687,*,0.0468,0.6875
Q9Y617,PSAT1,,0.2433,0.3533,*,0.0260,0.7056
P49902,NT5C2,,0.1465,0.5416,*,0.0377,1.0182
P20073,ANXA7,,0.1352,0.3557,*,0.0087,0.6600
Q13148,TARDBP,,0.2184,0.4079,*,0.0147,0.8176
P26038,MSN,,0.2004,0.3002,*,0.0152,0.5954
Q13938,CAPS,*,0.0191,2.3601,*,0.0149,3.1707
O43427,FIBP,*,0.0296,0.9837,*,0.0395,1.2866
P04083,ANXA1,*,0.0345,1.4749,*,0.0363,1.9644
P23786,CPT2,*,0.0424,2.8615,,0.1152,2.8635
P35270,SPR,*,0.0396,0.6867,,0.0765,0.7210
P28288,ABCD3,*,0.0459,1.0169,,0.0997,1.0732
P21333,FLNA,*,0.0196,0.9111,*,0.0289,1.0085
Q96PY5,FMNL2,,0.6028,-0.1422,*,0.0211,0.9865
P12956,XRCC6,,0.9774,-0.0063,*,0.0135,0.6605
P05067,APP,,0.6026,-0.1974,*,0.0002,1.4467
O60825,PFKFB2,,0.8800,0.0460,*,0.0007,1.1222
P50579,METAP2,,0.6530,0.2151,*,0.0106,1.7100
O75369,FLNB,,0.6331,0.2281,*,0.0035,1.6366
P09874,PARP1,,0.5957,0.2013,*,0.0102,1.3779
Q9BUF5,TUBB6,,0.7080,0.1553,*,0.0071,1.3958
Q9P0V9,10-Sep,,0.8073,0.1060,*,0.0147,1.1327
P67809,YBX1,,0.8428,0.0736,*,0.0422,0.8971
Q86TP1,PRUNE,,0.6823,0.1500,*,0.0280,0.9819
Q9Y696,CLIC4,,0.7558,0.1226,*,0.0486,0.8666
P29972,AQP1,,0.5416,0.4970,*,0.0053,2.0410
Q9BUT1,BDH2,,0.5156,0.1753,*,0.0206,0.7708
P52888,THOP1,,0.4647,0.2860,*,0.0342,1.0571
Q9NZT2,OGFR,,0.4342,0.6359,*,0.0124,2.4228
P28676,GCA,,0.4506,0.3385,*,0.0218,1.2889
P51659,HSD17B4,,0.5508,0.1576,*,0.0235,0.7483
P13611,VCAN,,0.5536,0.1799,*,0.0014,0.8471
O95394,PGM3,,0.2209,0.5224,*,0.0011,1.4803
Q9GZT8,NIF3L1,,0.1707,0.3896,*,0.0152,0.9232
Q9UJ70,NAGK,,0.1777,0.2797,*,0.0157,0.6433
Q96HY6,DDRGK1,,0.2913,0.3201,*,0.0118,0.8790
P24821,TNC,,0.3280,0.8372,*,0.0034,2.5188
P16070,CD44,,0.3725,0.8247,*,0.0056,2.3542
Q9UDY2,TJP2,,0.3366,0.5480,*,0.0227,1.4389
Q9H4A4,RNPEP,,0.2797,0.3285,*,0.0174,0.8446
P00352,ALDH1A1,,0.2897,0.3436,*,0.0103,0.8414
P02768,ALB,,0.3150,0.2760,*,0.0059,0.7092
P28838,LAP3,,0.6032,-0.4275,*,0.0021,0.6078
Q15334,LLGL1,,0.3703,-0.2855,*,0.0128,0.6637
O94919,ENDOD1,,0.6166,-0.1563,*,0.0181,0.6478
Q8TDQ7,GNPDA2,,0.6910,-0.1365,*,0.0396,0.7006
P30405,PPIF,,0.8338,-0.0992,*,0.0102,0.9550
O60664,PLIN3,,0.6698,-0.2766,*,0.0428,1.0935
Q96PU8,QKI,,0.5221,-0.2973,*,0.0094,0.8561
Q15717,ELAVL1,,0.8162,-0.0881,*,0.0365,0.5994
P30520,ADSS,,0.9894,0.0052,*,0.0165,0.7598
P14136,GFAP,,0.8732,-0.0788,*,0.0217,0.9136
Q7Z6L1,TECPR1,*,0.0369,-0.8173,,0.4481,-0.4257
P27701,CD82,*,0.0450,-1.2978,,0.3667,-0.4555
P00156,MT-CYB,*,0.0472,-1.2422,*,0.0071,-0.8431
Q15276,RABEP1,*,0.0369,-1.3851,,0.3298,-0.8809
P61328,FGF12,*,0.0241,-0.9273,*,0.0335,-0.6144
Q9H0W9,C11orf54,*,0.0308,-1.1136,,0.0732,-0.8096
Q8N461,FBXL16,*,0.0339,-1.0829,,0.0770,-0.7669
P10114,RAP2A,*,0.0319,-0.7861,,0.0295,-0.5630
P08962,CD63,*,0.0193,-1.2448,*,0.0427,-0.6830
Q9BXS5,AP1M1,,0.2422,-0.4642,*,0.0139,-0.6088
Q14165,MLEC,*,0.0228,-0.6027,,0.0961,-0.6538
P22059,OSBP,,0.0917,-1.0783,*,0.0113,-1.0802
Q9BYV8,CEP41,*,0.0445,-1.0009,,0.0925,-0.9717
P12931,SRC,*,0.0448,-1.1671,,0.0249,-1.4938
O75689,ADAP1,,0.0256,-0.5581,*,0.0311,-0.6806
P23677,ITPKA,*,0.0171,-1.1249,*,0.0142,-1.3267
P07311,ACYP1,,0.0636,-1.1479,*,0.0348,-1.3538
Q8N9R8,SCAI,,0.0545,-0.6725,*,0.0252,-0.8498
Q99884,SLC6A7,,0.0949,-1.1162,*,0.0472,-1.4060
O43581,SYT7,,0.2422,-0.5863,*,0.0004,-0.8678
Q96PE3,INPP4A,,0.2313,-0.3405,*,0.0169,-0.5874
Q86UR5,RIMS1,,0.2561,-0.5176,*,0.0335,-0.8423
Q96C19,EFHD2,,0.1955,-0.7672,*,0.0235,-1.1966
Q9UDW1,UQCR10,,0.1280,-0.4202,*,0.0256,-0.6074
