Protein Accession,Gene name,DEPs in Early B/B stages,t.test p-value in Early B/B stages,log2 FoldChange in Early B/B stages,DEPs in Late B/B stages,t.test p-value in Late B/B stages,log2 FoldChange in Late B/B stages
P43155,CRAT,,0.9539,0.0389,*,0.0030,1.7572
P05067,APP,,0.7506,0.0954,*,0.0187,0.8426
Q05397,PTK2,,0.8464,-0.0924,*,0.0499,0.8522
P14867,GABRA1,,0.8108,-0.1738,*,0.0463,0.9802
Q63HM9,PLCXD3,,0.9062,0.0694,*,0.0218,0.8101
P06730,EIF4E,,0.0607,1.3142,*,0.0311,1.5339
Q9UM22,EPDR1,*,0.0280,1.7580,*,0.0125,2.0185
Q9Y342,PLLP,*,0.0388,2.4210,*,0.0131,2.5341
P46976,GYG1,,0.0301,0.6069,*,0.0102,0.6277
P02792,FTL,*,0.0491,1.9717,*,0.0232,2.1155
O95861,BPNT1,,0.1040,0.7179,*,0.0349,0.7975
P62829,RPL23,,0.1200,0.8843,*,0.0136,1.0939
P13473,LAMP2,,0.0564,0.8945,*,0.0389,0.9292
Q9GZV7,HAPLN2,,0.0571,1.1024,*,0.0248,1.1124
P02794,FTH1,,0.0740,1.2825,*,0.0324,1.3637
Q9BXP5,SRRT,,0.0741,0.8386,*,0.0114,1.0825
Q9BXW6,OSBPL1A,,0.0682,0.6218,*,0.0362,0.7799
P01116,KRAS,,0.0577,0.5089,*,0.0113,0.6519
Q9NRW1,RAB6B,,0.0775,0.8875,*,0.0288,1.1177
O95057,DIRAS1,,0.1577,0.7617,*,0.0149,1.1710
P16112,ACAN,,0.2623,0.4643,*,0.0208,0.8633
Q9UBT2,UBA2,,0.2381,0.7798,*,0.0224,1.3519
P16402,HIST1H1D,,0.1944,0.6850,*,0.0457,1.1037
Q02246,CNTN2,,0.2113,0.4342,*,0.0210,0.7328
Q8IYB4,PEX5L,,0.3539,0.5785,*,0.0224,1.2903
A0FGR8,ESYT2,,0.2552,0.6034,*,0.0146,1.1526
Q9BSJ8,ESYT1,,0.2408,0.2930,*,0.0052,0.6751
P02763,ORM1,,0.2398,0.6415,*,0.0446,0.8831
A6NCE7,MAP1LC3B2,,0.1813,0.6328,*,0.0400,0.8539
